link,status
https://www.avito.ru/kaliningrad/avtomobili/geely_coolray_1.5_amt_2020_97_540_km_7369357145,done
https://www.avito.ru/groznyy/avtomobili/geely_coolray_1.5_amt_2025_1_km_7325864476,done
https://www.avito.ru/sankt-peterburg_pushkin/avtomobili/geely_coolray_1.5_amt_2021_98_000_km_7292042203,done
https://www.avito.ru/samara/avtomobili/geely_coolray_1.5_amt_2021_52_444_km_7313321129,err
https://www.avito.ru/cheboksary/avtomobili/geely_coolray_1.5_amt_2024_650_km_7202955474,err
https://www.avito.ru/naberezhnye_chelny/avtomobili/geely_coolray_1.5_amt_2024_10_km_7355634301,err
https://www.avito.ru/afonino/avtomobili/geely_coolray_1.5_amt_2021_69_190_km_7385461598,err
https://www.avito.ru/moskva/avtomobili/geely_coolray_1.5_amt_2025_40_km_7366092898,done
https://www.avito.ru/moskva/avtomobili/geely_coolray_1.5_amt_2021_31_000_km_7372137981,done
https://www.avito.ru/amurskaya_oblast_blagoveschensk/avtomobili/geely_coolray_1.5_amt_2022_40_000_km_7331392200,err
https://www.avito.ru/kirovskaya_oblast_kirov/avtomobili/geely_coolray_1.5_amt_2025_9_km_7305694904,err
https://www.avito.ru/mahachkala/avtomobili/geely_coolray_1.5_amt_2023_6_800_km_7323968629,err
https://www.avito.ru/nizhniy_novgorod/avtomobili/geely_coolray_1.5_amt_2024_25_km_7379609647,done
https://www.avito.ru/krasnodar/avtomobili/geely_coolray_1.5_amt_2023_15_000_km_7342154726,err
https://www.avito.ru/moskovskaya_oblast_chehov/avtomobili/geely_coolray_1.5_amt_2023_19_000_km_7334530193,done
https://www.avito.ru/kurgan/avtomobili/geely_coolray_1.5_amt_2021_33_000_km_7312731456,done
https://www.avito.ru/hasavyurt/avtomobili/geely_coolray_1.5_amt_2024_1_km_7282152768,done
https://www.avito.ru/moskva/avtomobili/geely_coolray_1.5_amt_2025_88_km_7348412108,done
https://www.avito.ru/aznakaevo/avtomobili/geely_coolray_1.5_amt_2024_41_000_km_7374774652,done
https://www.avito.ru/sankt-peterburg/avtomobili/geely_coolray_1.5_amt_2023_21_700_km_4441067821,done
https://www.avito.ru/surgut/avtomobili/haval_jolion_1.5_amt_2024_11_km_7340617739,done
https://www.avito.ru/krasnodar/avtomobili/haval_jolion_1.5_amt_2025_7354212468,done
https://www.avito.ru/samara/avtomobili/haval_jolion_1.5_amt_2023_46_000_km_7284067803,done
https://www.avito.ru/krasnodar/avtomobili/haval_jolion_1.5_amt_2025_7355757606,err
https://www.avito.ru/groznyy/avtomobili/haval_jolion_1.5_amt_2021_139_000_km_7354551452,err
https://www.avito.ru/moskva/avtomobili/haval_jolion_1.5_amt_2025_7327099943,done
https://www.avito.ru/gubkin/avtomobili/haval_jolion_1.5_amt_2024_bityy_5_500_km_7280220447,err
https://www.avito.ru/ulyanovsk/avtomobili/haval_jolion_1.5_amt_2025_4760331832,err
https://www.avito.ru/moskva/avtomobili/haval_jolion_1.5_mt_2022_41_000_km_4583377859,done
https://www.avito.ru/sankt-peterburg/avtomobili/haval_jolion_1.5_amt_2025_7354861499,err
https://www.avito.ru/sankt-peterburg/avtomobili/haval_jolion_1.5_amt_2025_7344149993,err
https://www.avito.ru/sankt-peterburg/avtomobili/haval_jolion_1.5_amt_2024_4778436096,err
https://www.avito.ru/rostov-na-donu/avtomobili/haval_jolion_1.5_amt_2025_3931721604,done
https://www.avito.ru/saratov/avtomobili/haval_jolion_1.5_amt_2025_7249132529,done
https://www.avito.ru/moskva/avtomobili/haval_jolion_1.5_amt_2021_87_410_km_7328092787,done
https://www.avito.ru/tolyatti/avtomobili/haval_jolion_1.5_amt_2025_7234424483,err
https://www.avito.ru/sankt-peterburg/avtomobili/haval_jolion_1.5_mt_2025_4938059393,done
https://www.avito.ru/kommunarka/avtomobili/haval_jolion_1.5_amt_2025_7366237392,done
https://www.avito.ru/sankt-peterburg/avtomobili/haval_jolion_1.5_amt_2024_4777737437,err
https://www.avito.ru/pushkino/avtomobili/haval_jolion_1.5_amt_2021_93_000_km_2750111139,done
https://www.avito.ru/ufa/avtomobili/dongfeng_captain_t_2.2_mt_2023_39_458_km_4940267630,done
https://www.avito.ru/bronnitsy/avtomobili/changan_hunter_plus_2.0_mt_2022_10_000_km_4699191324,err
https://www.avito.ru/moskva/avtomobili/jac_t8_2.0_mt_2023_22_000_km_7224451168,done
https://www.avito.ru/ufa/avtomobili/jac_n35_2.5_mt_2023_4_063_km_4826369408,err
https://www.avito.ru/nizhniy_novgorod/avtomobili/jac_t8_2.0_mt_2024_7340459804,done
https://www.avito.ru/moskva/avtomobili/changan_star_truck_plus_1.6_mt_2023_17_km_7361341212,done
https://www.avito.ru/moskva/avtomobili/changan_star_truck_plus_1.6_mt_2023_17_km_7361617253,done
https://www.avito.ru/kazan/avtomobili/changan_lantuozhe_2.0_mt_2022_100_km_7368685981,err
https://www.avito.ru/ussuriysk/avtomobili/great_wall_wingle_7_2.0_mt_2022_40_875_km_7271676247,done
https://www.avito.ru/himki/avtomobili/changan_star_truck_plus_1.6_mt_2023_12_km_4788417375,done
https://www.avito.ru/nizhniy_novgorod/avtomobili/changan_hunter_plus_2.0_at_2024_4413017798,done
https://www.avito.ru/nizhniy_novgorod/avtomobili/changan_hunter_plus_2.0_at_2024_4747570089,done
https://www.avito.ru/nizhniy_novgorod/avtomobili/changan_hunter_plus_2.0_at_2024_4447523990,done
https://www.avito.ru/penza/avtomobili/dongfeng_df6_2.5_mt_2022_15_000_km_4563474694,done
https://www.avito.ru/himki/avtomobili/changan_star_truck_plus_1.6_mt_2023_12_km_4788240653,done
https://www.avito.ru/nizhniy_novgorod/avtomobili/jac_t8_2.0_mt_2024_3741436523,err
https://www.avito.ru/afonino/avtomobili/jac_t8_2.0_mt_2024_7311162520,done
https://www.avito.ru/vidnoe/avtomobili/dongfeng_df6_2.5_mt_2022_46_776_km_3999140503,done
https://www.avito.ru/moskva/avtomobili/changan_star_five_1.2_mt_2023_17_km_7361202169,done
https://www.avito.ru/moskva/avtomobili/jac_t8_2.0_mt_2024_4391845149,done
https://www.avito.ru/sankt-peterburg/avtomobili/foton_toano_2.8_mt_2024_5153973429,done
https://www.avito.ru/lyubertsy/avtomobili/foton_toano_2.8_mt_2024_7309325461,done
https://www.avito.ru/nizhniy_novgorod/avtomobili/foton_toano_2.8_mt_2024_4787968675,done
https://www.avito.ru/moskva/avtomobili/foton_toano_2.8_mt_2024_4566023696,err
https://www.avito.ru/sankt-peterburg/avtomobili/foton_toano_2.8_mt_2024_7295285379,done
https://www.avito.ru/izhevsk/avtomobili/foton_toano_2.8_mt_2024_4543437067,done
https://www.avito.ru/tula/gruzoviki_i_spetstehnika/foton_toano_tselnometallicheskiy_2024_4512346687,done
https://www.avito.ru/tula/gruzoviki_i_spetstehnika/foton_toano_tselnometallicheskiy_2024_4447570224,done
https://www.avito.ru/lyubertsy/avtomobili/foton_toano_2.8_mt_2024_7341399608,done
https://www.avito.ru/sankt-peterburg/avtomobili/foton_toano_2.8_mt_2024_7233687434,done
https://www.avito.ru/moskva/avtomobili/foton_toano_2.8_mt_2024_7285190173,err
https://www.avito.ru/moskva/avtomobili/foton_toano_2.8_mt_2024_4597546110,err
https://www.avito.ru/lyubertsy/avtomobili/foton_toano_2.8_mt_2024_7245850497,done
https://www.avito.ru/tambov/avtomobili/foton_toano_2.8_mt_2024_4456748866,done
https://www.avito.ru/sankt-peterburg/avtomobili/foton_toano_2.8_mt_2023_10_km_4700851749,err
https://www.avito.ru/moskva/avtomobili/foton_toano_2.8_mt_2024_7248550238,err
https://www.avito.ru/kaliningrad/avtomobili/foton_toano_2.8_mt_2024_500_km_4635106928,done
https://www.avito.ru/moskva/avtomobili/foton_toano_2.8_mt_2024_4598011675,err
https://www.avito.ru/tambov/avtomobili/foton_toano_2.8_mt_2024_7240665600,done
https://www.avito.ru/tambov/avtomobili/foton_toano_2.8_mt_2024_4456711168,done
https://www.avito.ru/kazan/avtomobili/jac_n35_2.0_mt_2024_110_000_km_7220695615,done
https://www.avito.ru/voronezh/avtomobili/jac_n35_2.5_mt_2024_1_100_km_4149757513,done
https://www.avito.ru/voronezh/avtomobili/jac_n35_2.5_mt_2024_1_100_km_4293020926,done
https://www.avito.ru/kaliningrad/avtomobili/chery_arrizo_8_1.6_amt_2024_7271471416,done
https://www.avito.ru/kaliningrad/avtomobili/chery_arrizo_8_1.6_amt_2024_7272007818,done
https://www.avito.ru/kaliningrad/avtomobili/chery_arrizo_8_1.6_amt_2024_7335487249,done
https://www.avito.ru/pavlovskaya_sloboda/avtomobili/changan_star_five_1.2_mt_2023_9_550_km_4465221607,done
https://www.avito.ru/chishmy/avtomobili/great_wall_wingle_7_2.0_mt_2022_1_000_km_3080462206,err
https://www.avito.ru/rostov-na-donu/avtomobili/jac_t8_2.0_mt_2023_28_000_km_4602376633,err
https://www.avito.ru/nizhniy_novgorod/avtomobili/changan_star_five_1.2_mt_2023_4692151902,done
https://www.avito.ru/nizhniy_novgorod/avtomobili/great_wall_poer_king_kong_2.0_mt_2023_43_000_km_7387709893,done
https://www.avito.ru/nizhniy_novgorod/avtomobili/jac_t8_2.0_mt_2023_4245926331,done
https://www.avito.ru/ryazan/avtomobili/jac_t8_2.0_mt_2023_4484771463,done
https://www.avito.ru/kazan/avtomobili/ambertrak_work_2.5_mt_2023_10_km_7266483194,done
https://www.avito.ru/vladivostok/avtomobili/daihatsu_atrai_0.7_cvt_2022_14_000_km_7286008885,err
https://www.avito.ru/pushkino/avtomobili/great_wall_poer_king_kong_2.0_mt_2023_40_000_km_7217256531,err
https://www.avito.ru/ufa/avtomobili/great_wall_poer_2.0_at_2022_72_660_km_4673165635,done
https://www.avito.ru/moskva/avtomobili/jac_t6_2.0_mt_2023_47_359_km_7205163278,err
https://www.avito.ru/yuzhno-sahalinsk/avtomobili/great_wall_poer_king_kong_2.0_at_2023_40_000_km_4574811131,done
https://www.avito.ru/krasnodar/avtomobili/kyc_t3_1.2_mt_2022_2_350_km_4622934557,done
https://www.avito.ru/bronnitsy/avtomobili/chery_tiggo_7_pro_1.5_cvt_2020_bityy_67_723_km_3645528336,done
https://www.avito.ru/cheboksary/avtomobili/chery_tiggo_7_pro_max_1.5_cvt_2023_28_522_km_7370608319,done
https://www.avito.ru/ramenskoe/avtomobili/chery_tiggo_7_pro_max_1.6_amt_2023_27_221_km_7374804806,done
https://www.avito.ru/novoe_devyatkino/avtomobili/chery_tiggo_7_pro_max_1.6_amt_2025_7363968313,err
https://www.avito.ru/tver/avtomobili/chery_tiggo_7_pro_1.5_cvt_2021_45_953_km_7335081649,err
https://www.avito.ru/sankt-peterburg_peterhof/avtomobili/chery_tiggo_7_pro_max_1.5_cvt_2023_60_000_km_7350835353,done
https://www.avito.ru/ufa/avtomobili/chery_tiggo_7_pro_max_1.6_amt_2023_bityy_9_500_km_7337777340,done
https://www.avito.ru/rostovskaya_oblast_aksay/avtomobili/chery_tiggo_7_pro_1.5_cvt_2022_34_435_km_4603608629,err
https://www.avito.ru/cheboksary/avtomobili/chery_tiggo_7_pro_max_1.6_amt_2024_7_500_km_7318988734,err
https://www.avito.ru/pyatigorsk/avtomobili/chery_tiggo_7_pro_max_1.6_amt_2025_7_km_7312068957,done
https://www.avito.ru/sankt-peterburg/avtomobili/chery_tiggo_7_pro_max_1.6_amt_2025_7363294150,err
https://www.avito.ru/moskva/avtomobili/chery_tiggo_7_pro_1.5_cvt_2021_bityy_41_307_km_4425166004,err
https://www.avito.ru/sankt-peterburg/avtomobili/chery_tiggo_7_pro_max_1.6_amt_2025_7363712266,err
https://www.avito.ru/balashiha/avtomobili/chery_tiggo_7_pro_max_1.6_amt_2024_15_000_km_7369587706,done
https://www.avito.ru/dinskaya/avtomobili/chery_tiggo_7_pro_max_1.5_cvt_2023_5_000_km_7270495845,err
https://www.avito.ru/morozova/avtomobili/chery_tiggo_7_pro_max_1.6_amt_2025_7363430527,err
https://www.avito.ru/irkutsk/avtomobili/chery_tiggo_7_pro_1.5_cvt_2020_62_200_km_7264520728,err
https://www.avito.ru/sankt-peterburg/avtomobili/chery_tiggo_7_pro_max_1.6_amt_2025_7363429144,err
https://www.avito.ru/sankt-peterburg/avtomobili/chery_tiggo_7_pro_max_1.6_amt_2025_7363714058,err
https://www.avito.ru/leningradskaya_oblast_kommunar/avtomobili/chery_tiggo_7_pro_max_1.6_amt_2025_7363350683,err
https://www.avito.ru/krasnodar/avtomobili/chery_tiggo_8_pro_max_1.6_amt_2024_7321779175,err
https://www.avito.ru/abinsk/avtomobili/chery_tiggo_8_pro_1.6_amt_2021_51_000_km_7334957247,err
https://www.avito.ru/prohladnyy/avtomobili/chery_tiggo_8_pro_1.6_amt_2021_80_000_km_3032008316,err
https://www.avito.ru/krasnodar/avtomobili/chery_tiggo_8_pro_1.6_amt_2022_109_000_km_4819691318,err
https://www.avito.ru/sankt-peterburg/avtomobili/chery_tiggo_8_pro_1.6_amt_2022_44_000_km_7353724103,done
https://www.avito.ru/lagolovo/avtomobili/chery_tiggo_8_pro_max_1.6_amt_2024_7363540828,err
https://www.avito.ru/vladivostok/avtomobili/chery_tiggo_8_pro_1.6_amt_2022_22_000_km_7302251502,done
https://www.avito.ru/irkutsk/avtomobili/chery_tiggo_8_pro_1.6_amt_2022_17_000_km_4610573339,err
https://www.avito.ru/smolensk/avtomobili/chery_tiggo_8_pro_1.6_amt_2022_40_000_km_7363972127,done
https://www.avito.ru/sankt-peterburg/avtomobili/chery_tiggo_8_pro_max_1.6_amt_2024_7363315552,err
https://www.avito.ru/razvilka/avtomobili/chery_tiggo_8_pro_e_1.5_at_2022_3_950_km_7218860430,done
https://www.avito.ru/zlatoust/avtomobili/chery_tiggo_8_pro_max_2.0_amt_2023_29_700_km_4600480232,done
https://www.avito.ru/velikie_luki/avtomobili/chery_tiggo_8_pro_1.6_amt_2021_136_000_km_4581321665,err
https://www.avito.ru/moskva/avtomobili/chery_tiggo_8_pro_1.6_amt_2021_42_000_km_7250627038,done
https://www.avito.ru/tyumen/avtomobili/chery_tiggo_8_pro_1.6_amt_2022_50_000_km_7278949087,err
https://www.avito.ru/elektrostal/avtomobili/chery_tiggo_8_pro_max_2.0_amt_2023_18_000_km_4468880806,done
https://www.avito.ru/yoshkar-ola/avtomobili/chery_tiggo_8_pro_1.6_amt_2021_119_000_km_7284988330,done
https://www.avito.ru/chelyabinsk/avtomobili/chery_tiggo_8_pro_max_2.0_amt_2023_20_251_km_7331906013,err
https://www.avito.ru/moskva/avtomobili/chery_tiggo_8_pro_1.6_amt_2022_33_000_km_4335589122,err
https://www.avito.ru/saratov/avtomobili/chery_tiggo_8_pro_1.6_amt_2021_57_500_km_3581507236,done
https://www.avito.ru/krasnodar/avtomobili/omoda_c5_1.5_cvt_2024_7322930777,err
https://www.avito.ru/ufa/avtomobili/omoda_c5_1.5_cvt_2023_44_600_km_7307294488,done
https://www.avito.ru/sankt-peterburg/avtomobili/omoda_c5_1.5_cvt_2024_7370428300,err
https://www.avito.ru/volgograd/avtomobili/omoda_c5_1.6_amt_2024_4_000_km_7334185711,err
https://www.avito.ru/sankt-peterburg/avtomobili/omoda_c5_1.5_cvt_2024_7345969498,err
https://www.avito.ru/sankt-peterburg/avtomobili/omoda_c5_1.5_cvt_2024_4386701929,done
https://www.avito.ru/magnitogorsk/avtomobili/omoda_c5_1.5_cvt_2025_7300104515,err
https://www.avito.ru/sankt-peterburg/avtomobili/omoda_c5_1.5_cvt_2024_4578703600,done
https://www.avito.ru/krasnodar/avtomobili/omoda_c5_1.5_cvt_2023_11_400_km_7304914647,done
https://www.avito.ru/nizhniy_novgorod/avtomobili/omoda_c5_1.5_cvt_2024_5025626035,err
https://www.avito.ru/rostov-na-donu/avtomobili/omoda_c5_1.5_cvt_2023_13_100_km_7308705620,done
https://www.avito.ru/reutov/avtomobili/omoda_c5_1.5_cvt_2022_65_000_km_7343245723,done
https://www.avito.ru/samarskaya_oblast_krasnyy_yar/avtomobili/omoda_c5_1.5_cvt_2022_27_000_km_7379902184,done
https://www.avito.ru/sankt-peterburg/avtomobili/omoda_c5_1.5_cvt_2024_4945570357,err
https://www.avito.ru/sankt-peterburg/avtomobili/omoda_c5_1.6_amt_2024_7370672009,err
https://www.avito.ru/moskva/avtomobili/omoda_c5_1.5_cvt_2023_bityy_31_200_km_7333439102,done
https://www.avito.ru/sankt-peterburg/avtomobili/omoda_c5_1.5_cvt_2024_3790504316,done
https://www.avito.ru/moskva/avtomobili/omoda_c5_1.5_cvt_2022_59_500_km_4360314168,done
https://www.avito.ru/moskva/avtomobili/omoda_c5_1.5_cvt_2024_7382523232,done
https://www.avito.ru/rostov-na-donu/avtomobili/omoda_c5_1.5_cvt_2024_4522832079,done
https://www.avito.ru/sankt-peterburg/avtomobili/omoda_s5_1.5_cvt_2024_7361601280,err
https://www.avito.ru/sankt-peterburg/avtomobili/omoda_s5_1.5_cvt_2024_7362009122,err
https://www.avito.ru/krasnodar/avtomobili/omoda_s5_1.5_cvt_2024_7290260630,err
https://www.avito.ru/samara/avtomobili/omoda_s5_gt_1.5_cvt_2024_7343433142,done
https://www.avito.ru/sankt-peterburg/avtomobili/omoda_s5_1.5_cvt_2024_7361867868,done
https://www.avito.ru/sankt-peterburg/avtomobili/omoda_s5_1.5_cvt_2024_7361173204,err
https://www.avito.ru/sankt-peterburg/avtomobili/omoda_s5_1.5_cvt_2024_7361234786,err
https://www.avito.ru/sankt-peterburg/avtomobili/omoda_s5_1.5_cvt_2024_7361224886,err
https://www.avito.ru/ufa/avtomobili/omoda_s5_gt_1.5_cvt_2024_7374512044,done
https://www.avito.ru/sankt-peterburg/avtomobili/omoda_s5_1.5_cvt_2024_7361397579,err
https://www.avito.ru/sankt-peterburg/avtomobili/omoda_s5_1.5_cvt_2024_7361170471,err
https://www.avito.ru/sankt-peterburg/avtomobili/omoda_s5_1.5_cvt_2024_7361427744,err
https://www.avito.ru/kopeysk/avtomobili/omoda_s5_gt_1.6_amt_2024_7346105982,done
https://www.avito.ru/sankt-peterburg/avtomobili/omoda_s5_1.5_cvt_2024_7361019925,err
https://www.avito.ru/sankt-peterburg/avtomobili/omoda_s5_1.5_cvt_2024_7361222683,err
https://www.avito.ru/sankt-peterburg/avtomobili/omoda_s5_1.5_cvt_2024_7361163139,done
https://www.avito.ru/sankt-peterburg/avtomobili/omoda_s5_1.5_cvt_2024_7361444635,done
https://www.avito.ru/sankt-peterburg/avtomobili/omoda_s5_gt_1.5_cvt_2024_7377704420,done
https://www.avito.ru/sankt-peterburg/avtomobili/omoda_s5_1.5_cvt_2024_7361793068,err
https://www.avito.ru/sankt-peterburg/avtomobili/omoda_s5_1.5_cvt_2024_7361113486,err
